GenreLink,Genre,NumberOfPeople
/work/shelves/2676767,hard-boiled,3
/work/shelves/2676767,books,3
/work/shelves/2676767,mystery-suspense,3
/work/shelves/96433,felsefe,1
/work/shelves/96433,سياسة,1
/work/shelves/96433,not-finished,1
/work/shelves/96433,law-სამართალი,1
/work/shelves/96433,filosofía,1
/work/shelves/96433,derecho,1
/work/shelves/96435,fagbøker,1
/work/shelves/96435,lærebøger,1
/work/shelves/96435,astronomi-og-fysik,1
/work/shelves/96435,for-later,1
/work/shelves/96435,need-to-buy,1
/work/shelves/2679813,to-read,162
/work/shelves/96429,yoga,4
/work/shelves/96429,2020,3
/work/shelves/96429,مقدمة-قصيرة-جدا,3
/work/shelves/96429,reference,3
/work/shelves/96429,kindle,3
/work/shelves/96429,very-short-intro,3
/work/shelves/96429,own,3
/work/shelves/96429,nonfiction,2
/work/shelves/96432,to-read,885
/work/shelves/208911,my-wishlist-borrow,1
/work/shelves/208911,bk-research-e,1
/work/shelves/208911,kutuphanemdekiler,1
/work/shelves/208911,left-unfinished,1
/work/shelves/208911,treppe,1
/work/shelves/96431,studies,2
/work/shelves/96431,very-short-intro,2
/work/shelves/96431,to-read-nonfiction,2
/work/shelves/96431,society,2
/work/shelves/96431,on-pause,2
/work/shelves/96431,academic,2
/work/shelves/2676767,wishlist,3
/work/shelves/2676767,american,3
/work/shelves/2676767,thriller,3
/work/shelves/2676767,crime-fiction,3
/work/shelves/2676767,historical,2
/work/shelves/96433,justice-law,1
/work/shelves/96433,interested,1
/work/shelves/96433,3310,1
/work/shelves/96433,meh,1
/work/shelves/96433,law-legalities-treaties,1
/work/shelves/96435,secular-perspectives,1
/work/shelves/96435,scientific-discovery,1
/work/shelves/96435,physics-quantum-mechanics,1
/work/shelves/96435,physics-math,1
/work/shelves/96435,partly-read,1
/work/shelves/96439,to-read,394
/work/shelves/2679813,physics,17
/work/shelves/2679813,default,6
/work/shelves/2679813,reference,6
/work/shelves/2679813,currently-reading,5
/work/shelves/2679813,textbook,4
